Sonde serial number                          	R2030028
Balloon release date and time                	2021-04-03T00:00:07
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
 215     2.1       730  931.6  22.8 60.8  14.9  25   2.6 298.1 23.179713 120.374697 11.44     757    196
 216     2.2       733  931.3  22.8 60.8  14.9  25   2.6 298.1 23.179690 120.374684 11.44     760    196
 217     2.3       735  931.0  22.8 60.8  14.9  25   2.6 298.0 23.179668 120.374671 11.45     763    196
 218     2.2       737  930.8  22.8 60.9  14.9  26   2.6 298.0 23.179645 120.374656 11.46     765    196
 219     2.2       739  930.6  22.8 61.1  14.9  26   2.6 298.0 23.179623 120.374641 11.48     768    196
 220     2.1       741  930.3  22.8 61.1  14.9  27   2.6 298.0 23.179602 120.374626 11.48     771    196
 221     2.1       743  930.1  22.8 61.1  14.9  27   2.6 298.0 23.179582 120.374612 11.47     773    196
 222     2.0       746  929.9  22.7 61.1  14.9  27   2.6 298.0 23.179563 120.374599 11.46     776    197
 223     2.1       748  929.7  22.7 61.1  14.9  28   2.6 297.9 23.179544 120.374585 11.44     778    197
 224     2.2       750  929.5  22.7 61.0  14.8  28   2.6 297.9 23.179527 120.374571 11.42     780    197
 225     2.5       752  929.2  22.7 60.9  14.8  28   2.6 297.9 23.179509 120.374560 11.41     783    197
 226     2.6       755  928.9  22.7 61.0  14.8  28   2.6 297.9 23.179488 120.374549 11.41     785    197
 227     2.5       757  928.6  22.7 61.0  14.8  28   2.6 297.9 23.179467 120.374539 11.41     788    197
 228     2.2       760  928.4  22.7 61.0  14.8  29   2.6 297.9 23.179445 120.374527 11.40     790    197
 229     1.7       761  928.2  22.6 61.1  14.8  29   2.6 297.8 23.179425 120.374515 11.40     793    197
 230     1.5       763  928.1  22.6 61.1  14.8  29   2.6 297.8 23.179404 120.374502 11.39     795    197
 231     1.7       765  928.0  22.6 61.0  14.7  29   2.6 297.8 23.179384 120.374488 11.36     798    197
 232     2.2       767  927.7  22.6 60.6  14.6  29   2.6 297.8 23.179363 120.374475 11.29     801    197
 233     2.5       769  927.4  22.6 59.9  14.4  29   2.6 297.7 23.179341 120.374462 11.15     803    197
 234     2.4       772  927.1  22.6 58.9  14.2  29   2.6 297.7 23.179321 120.374449 10.96     806    197
 235     2.2       774  926.9  22.6 58.0  13.9  29   2.6 297.7 23.179300 120.374434 10.79     809    197
 236     2.0       776  926.7  22.6 57.5  13.8  29   2.6 297.7 23.179278 120.374420 10.71     811    197
 237     2.0       778  926.5  22.6 57.3  13.8  29   2.6 297.7 23.179257 120.374407 10.67     814    197
 238     2.1       780  926.3  22.6 57.2  13.7  29   2.6 297.6 23.179235 120.374395 10.65     817    197
 239     2.4       782  926.0  22.6 57.2  13.7  29   2.6 297.6 23.179213 120.374383 10.64     819    197
 240     2.7       785  925.7  22.5 57.2  13.7  29   2.6 297.6 23.179191 120.374372 10.63     822    197
 241     2.6       788  925.4  22.5 57.2  13.7  29   2.6 297.6 23.179169 120.374361 10.63     825    197
 242     2.4       790  925.2  22.5 57.3  13.7  29   2.6 297.6 23.179147 120.374350 10.63     827    197
 243     2.2       792  924.9  22.5 57.3  13.7  29   2.6 297.6 23.179127 120.374339 10.64     830    197
 244     2.0       794  924.8  22.5 57.4  13.7  28   2.6 297.5 23.179107 120.374327 10.63     832    197
 245     2.1       796  924.6  22.5 57.4  13.7  28   2.6 297.5 23.179087 120.374314 10.62     835    197
 246     2.3       798  924.3  22.4 57.5  13.7  28   2.6 297.5 23.179067 120.374299 10.63     837    197
